Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2022,30,Baltimore City,0231,The Belair-Edison School,All,21.5,212,10.3,102,11.2,110,986.3,20221114
2022,30,Baltimore City,0232,Thomas Jefferson Elementary/Middle,Elementary,23.3,48,7.8,16,15.5,32,206.3,20221114
2022,30,Baltimore City,0232,Thomas Jefferson Elementary/Middle,Middle,21.5,29,11.9,16,9.7,13,134.7,20221114
2022,30,Baltimore City,0232,Thomas Jefferson Elementary/Middle,All,22.6,77,9.4,32,13.2,45,341.0,20221114
2022,30,Baltimore City,0233,Roland Park Elementary/Middle,Elementary,7.1,46,<= 5.0,*,<= 5.0,*,648.9,20221114
2022,30,Baltimore City,0233,Roland Park Elementary/Middle,Middle,8.5,58,<= 5.0,*,<= 5.0,*,685.5,20221114
2022,30,Baltimore City,0233,Roland Park Elementary/Middle,All,7.8,104,<= 5.0,*,<= 5.0,*,1334.5,20221114
2022,30,Baltimore City,0234,Arlington Elementary,Elementary,20.7,74,8.7,31,12.0,43,357.8,20221114
2022,30,Baltimore City,0235,Glenmount Elementary/Middle,Elementary,23.7,93,8.1,32,15.5,61,393.2,20221114
2022,30,Baltimore City,0235,Glenmount Elementary/Middle,Middle,21.9,53,12.4,30,9.5,23,241.5,20221114
2022,30,Baltimore City,0235,Glenmount Elementary/Middle,All,23.0,146,9.8,62,13.2,84,634.7,20221114
2022,30,Baltimore City,0236,Hamilton Elementary/Middle,Elementary,20.3,89,11.4,50,8.9,39,437.7,20221114
2022,30,Baltimore City,0236,Hamilton Elementary/Middle,Middle,12.8,49,6.3,24,6.5,25,383.5,20221114
2022,30,Baltimore City,0236,Hamilton Elementary/Middle,All,16.8,138,9.0,74,7.8,64,821.2,20221114
2022,30,Baltimore City,0237,Highlandtown Elementary/Middle #237,Elementary,30.1,142,5.3,25,24.8,117,472.4,20221114
2022,30,Baltimore City,0237,Highlandtown Elementary/Middle #237,Middle,33.8,95,9.3,26,24.6,69,281.0,20221114
2022,30,Baltimore City,0237,Highlandtown Elementary/Middle #237,All,31.5,237,6.8,51,24.7,186,753.3,20221114
2022,30,Baltimore City,0239,Benjamin Franklin High School at Masonville Cove,High,44.7,290,16.8,109,27.9,181,649.0,20221114
2022,30,Baltimore City,0240,Graceland Park/O'Donnell Heights Elementary/Middle,Elementary,21.0,92,11.6,51,9.3,41,438.7,20221114
